SubmissionDate,name,datetime,build_date,number,street,photo,waypoint-Latitude,waypoint-Longitude,waypoint-Altitude,waypoint-Accuracy,type,structure,style,windows,walls,porch,roof,chimney,elements,additions,inventory,notes,instanceID,KEY
"",AM,"Dec 1, 2019 11:23:00 PM","",8292,La Mesa Blvd,media/1575242624004.jpg,32.765023,-117.019184,0.0,0.0,commercial_retail,two_story,undetermined,yes,yes,no,undetermined,undetermined,no,no,undetermined,"",uuid:079d7b6e-98d8-4b5d-9de7-d457dc5327cf,uuid:079d7b6e-98d8-4b5d-9de7-d457dc5327cf
"",Kc,"Mar 1, 2020 9:56:00 PM",1953,5141,Guild,media/1583099830685.jpg,32.77241,-117.02285699999999,0.0,0.0,commercial_retail,one_story,modern,no,no,no,no,yes,no,no,more_research,"",uuid:255a091e-e7b2-4de4-8e0f-a8e2e884a52f,uuid:255a091e-e7b2-4de4-8e0f-a8e2e884a52f
"",Am,"Nov 5, 2019 9:56:00 PM","",7882,La Mesa Blvd,media/1572991113802.jpg,32.767101,-117.027818,0.0,0.0,commercial_retail,two_story,undetermined,yes,undetermined,yes,undetermined,no,no,yes,undetermined,"",uuid:bdc86d93-226e-42b8-b899-e10ad0f90c22,uuid:bdc86d93-226e-42b8-b899-e10ad0f90c22
"",Bb,"Dec 7, 2019 5:25:00 PM","",8330,La Mesa Blvd,media/1575739664739.jpg,32.765459,-117.018209,0.0,0.0,commercial_retail,one_story,post_modern,no,no,no,yes,no,no,yes,non_candidate,Need year built,uuid:36f1d629-9c9e-4773-98bf-2e5485cb1f8f,uuid:36f1d629-9c9e-4773-98bf-2e5485cb1f8f
"",Wr,"Mar 30, 2019 6:40:00 PM",1956,8262,University,media/1553971252956.jpg,32.767652,-117.02017599999999,0.0,0.0,commercial_retail,one_story,modern,no,no,no,no,no,no,no,non_candidate,"",uuid:4caa3fce-afb2-4d60-8879-238c02d52173,uuid:4caa3fce-afb2-4d60-8879-238c02d52173
"",Wr,"Apr 20, 2019 9:35:00 PM",1946,8702,La Mesa,media/1555796157987.jpg,32.770224,-117.009599,0.0,0.0,commercial_retail,one_story,modern,pot_reverse,yes,undetermined,yes,"","","",more_research,"",uuid:0fe68ad4-a8e6-44d0-9316-22d00e1a7872,uuid:0fe68ad4-a8e6-44d0-9316-22d00e1a7872
"",Wr,"Mar 24, 2019 7:03:00 PM","",8349,University,media/1553454258399.jpg,32.767951,-117.017896,0.0,0.0,residential,one_story,contemporary,no,yes,undetermined,yes,yes,yes,undetermined,more_research,"",uuid:e1f451d6-b3bc-4f6f-ac5f-965d371ae6f8,uuid:e1f451d6-b3bc-4f6f-ac5f-965d371ae6f8
"",ME AW,"Mar 24, 2019 7:59:00 PM","",8354,University,media/1553457836037.jpg,32.768206,-117.01773999999999,0.0,0.0,commercial_retail,one_story,revivals,yes,yes,no,yes,yes,yes,undetermined,undetermined,"",uuid:aeb12a0a-7e5a-47a2-816c-cba1a0d4bcb2,uuid:aeb12a0a-7e5a-47a2-816c-cba1a0d4bcb2
"",SG,"Feb 18, 2020 12:15:00 AM",1930,8295,La Mesa Blvd,media/1581984995297.jpg,32.764959,-117.019109,0.0,0.0,commercial_retail,two_story,undetermined,no,yes,undetermined,yes,undetermined,no,undetermined,assess,"",uuid:078b619f-bcc4-452e-abed-14fd9f1b70fe,uuid:078b619f-bcc4-452e-abed-14fd9f1b70fe
"",AM,"Dec 1, 2019 10:39:00 PM","",8342,La Mesa Blvd,media/1575240017821.jpg,32.765423999999996,-117.01811199999999,0.0,0.0,commercial_retail,one_story,undetermined,yes,yes,no,undetermined,undetermined,undetermined,no,undetermined,"",uuid:91bc3e81-7c2d-4f8f-b28e-6e8fee50f341,uuid:91bc3e81-7c2d-4f8f-b28e-6e8fee50f341
"",Am,"Nov 3, 2019 8:25:00 PM",1940,7831,La Mesa Blvd,media/1572816426465.jpg,32.767762,-117.02925099999999,0.0,0.0,residential,one_story,undetermined,yes,yes,yes,yes,yes,no,no,candidate,Looks to be in good condition and age appropriate.,uuid:fdd6aece-a2d7-4001-92a8-a281e00a5ca1,uuid:fdd6aece-a2d7-4001-92a8-a281e00a5ca1
"",Bb,"Dec 7, 2019 5:35:00 PM","",8332,La Mesa Blvd,media/1575740187272.jpg,32.765169,-117.01810499999999,0.0,0.0,commercial_retail,one_story,modern,yes,yes,no,yes,no,yes,yes,non_candidate,Need year built,uuid:04689342-b473-4ce1-8b3f-525aaa603c30,uuid:04689342-b473-4ce1-8b3f-525aaa603c30
"",Am,"Oct 12, 2019 6:39:00 PM","",8039,La Mesa Blvd,media/1570905610385.jpg,32.763312,-117.02400999999999,0.0,0.0,commercial_retail,one_story,modern,yes,yes,yes,yes,no,no,no,parcel_address_issue,"",uuid:c532161a-c472-4038-9345-5c18f692a153,uuid:c532161a-c472-4038-9345-5c18f692a153
"",DCC,"Feb 16, 2020 7:03:00 PM",1931,8340,University,media/1581879892906.jpg,32.768088999999996,-117.018137,0.0,0.0,residential,one_story,craftsman,no,yes,yes,yes,yes,undetermined,no,non_candidate,Some windows appear to have been changed; chimney may be original structure. Porch appears to be original. Craftsman/Spanish bungalow.,uuid:d60d5356-1a5f-4a5c-a5dd-4dfb2f7f3f95,uuid:d60d5356-1a5f-4a5c-a5dd-4dfb2f7f3f95
"","AW, ME","Mar 24, 2019 8:36:00 PM","",4972,Pine,media/1553459859869.jpg,32.769396,-117.017748,0.0,0.0,residential,one_story,minimal_trad,yes,yes,yes,yes,no,yes,no,undetermined,"",uuid:7d7cead3-1ef8-43c4-8954-f50fb96a2dec,uuid:7d7cead3-1ef8-43c4-8954-f50fb96a2dec
"",RK,"Feb 8, 2020 7:32:00 PM",1937,8439,University avenue,media/1581190612370.jpg,32.767984999999996,-117.015867,0.0,0.0,government_institutional,"",minimal_trad,yes,yes,no,yes,yes,yes,undetermined,more_research,"Part of Porter Park possibly used by adult center. Has metal pole railings and access ramp. Also has ""Built by"" placard on front of building. There is also a small building on the left which has the same cobblestone siding/accents (possible utility shed). Have photographs of other elements since it is a public building.",uuid:f806bc30-f7e2-4e4b-adff-a9a5eed42788,uuid:f806bc30-f7e2-4e4b-adff-a9a5eed42788
"",Am,"Nov 3, 2019 8:30:00 PM",1940,7837,La Mesa Blvd,media/1572816689289.jpg,32.767647,-117.028983,0.0,0.0,residential,two_story,undetermined,yes,yes,undetermined,yes,no,no,no,more_research,I think the house might have had some modifications.,uuid:8530b956-3062-41ff-b6ec-ed945b834031,uuid:8530b956-3062-41ff-b6ec-ed945b834031
"",Wr,"Apr 20, 2019 9:29:00 PM",1954,8760,La Mesa,media/1555795812353.jpg,32.770579999999995,-117.008724,0.0,0.0,commercial_retail,one_story,modern,yes,pot_reverse,undetermined,undetermined,"","","",more_research,"",uuid:cc04403f-94d1-4059-8b7d-71f5b01d7e10,uuid:cc04403f-94d1-4059-8b7d-71f5b01d7e10
"",Kc,"Mar 1, 2020 10:19:00 PM",0,8176,Center,media/1583101277757.jpg,32.772072,-117.02092499999999,0.0,0.0,commercial_retail,multi_building_structure,undetermined,no,no,no,no,no,no,no,more_research,No Date,uuid:9509b5cf-6967-452c-a43c-fac381a7accd,uuid:9509b5cf-6967-452c-a43c-fac381a7accd
"","AW, ME","Mar 24, 2019 8:34:00 PM","",4964,Pine,media/1553459697285.jpg,32.76925,-117.017653,0.0,0.0,residential,two_story,minimal_trad,yes,yes,yes,yes,yes,yes,yes,undetermined,"",uuid:0d1b2e4d-4edc-4041-94e4-6574d10d2db2,uuid:0d1b2e4d-4edc-4041-94e4-6574d10d2db2
"",RK,"Feb 8, 2020 8:16:00 PM",0,4975,Memorial drive,media/1581193104744.jpg,32.769746,-117.015603,0.0,0.0,government_institutional,"",post_modern,yes,yes,yes,yes,no,yes,no,more_research,"Recreation Center maintained by La Mesa Parks and Recreation. Gymnastics/basketball/etc. There is a placard on the Community Center adjacent which states it was built in 1983, unsure if the date applies to the Recreation Center as well. More research is necessary.",uuid:cba68d97-e0e7-408b-a9c6-67e14c0ea28e,uuid:cba68d97-e0e7-408b-a9c6-67e14c0ea28e
"",AM,"Nov 30, 2019 12:30:00 AM",1980,8363,La Mesa Blvd,media/1575074006416.jpg,32.765499,-117.01761599999999,0.0,0.0,commercial_retail,two_story,modern,yes,yes,yes,yes,undetermined,yes,no,not_included,"",uuid:54cd57e3-04ce-4948-b8a9-b040ff1380e7,uuid:54cd57e3-04ce-4948-b8a9-b040ff1380e7
"",KC,"Feb 16, 2020 12:18:00 AM",1956,8120,Commercial,media/1582137694091.jpg,32.772988999999995,-117.023697,0.0,0.0,commercial_retail,multi_story,undetermined,no,no,yes,no,no,no,no,non_candidate,"",uuid:6e99b45c-144b-4809-ab5a-62e674b2210e,uuid:6e99b45c-144b-4809-ab5a-62e674b2210e
"",AM,"Dec 1, 2019 9:52:00 PM",1985,8440,La Mesa Blvd,media/1575237521010.jpg,32.767143,-117.01598299999999,0.0,0.0,residential,one_story,post_modern,yes,yes,no,yes,undetermined,yes,no,not_included,"",uuid:9503ef47-e51b-48d4-bb59-2955b7fba571,uuid:9503ef47-e51b-48d4-bb59-2955b7fba571
"",DCC,"Feb 18, 2020 7:26:00 PM",1989,8220,University,media/1582054051616.jpg,32.767474,-117.02089099999999,0.0,0.0,commercial_retail,two_story,post_modern,yes,yes,no,yes,no,no,no,more_research,No decorative elements present. Very contemporary structure made to represent Spanish revival.,uuid:4af9944c-5d61-4629-8689-48f11e239d03,uuid:4af9944c-5d61-4629-8689-48f11e239d03
"",SG,"Feb 1, 2020 9:52:00 PM","","","","",,,,,"","","","","","","","","","","","",uuid:18cccb47-7a25-4eb2-97f1-585ae0bbda62,uuid:18cccb47-7a25-4eb2-97f1-585ae0bbda62
"",Kc,"Mar 1, 2020 10:16:00 PM",0,8171,Center,media/1583101096785.jpg,32.77194,-117.021283,0.0,0.0,commercial_retail,one_story,contemporary,no,no,no,no,no,no,no,more_research,No date,uuid:20283717-a38d-44a4-8fe6-04e04b64451e,uuid:20283717-a38d-44a4-8fe6-04e04b64451e
"",Wr,"Mar 30, 2019 6:45:00 PM",1926,8240,University,media/1553971558145.jpg,32.767689,-117.02044599999999,0.0,0.0,residential,one_story,craftsman,no,no,yes,yes,undetermined,undetermined,undetermined,more_research,"",uuid:421a23ec-ea78-45a9-8608-5ccdc70c74df,uuid:421a23ec-ea78-45a9-8608-5ccdc70c74df
"",DCC,"Feb 5, 2020 6:51:00 PM",1931,8354,University,media/1581879194690.jpg,32.768184999999995,-117.017797,0.0,0.0,residential,one_story,craftsman,no,no,no,undetermined,undetermined,no,undetermined,more_research,Decorative elements undetermined; does have dove design on roof tile facings.,uuid:d3864b17-6a02-411a-a79c-cf1ef7c8eea3,uuid:d3864b17-6a02-411a-a79c-cf1ef7c8eea3
"",SG,"Feb 18, 2020 1:07:00 AM",1922,8409,La Mesa Blvd,media/1581988107401.jpg,32.765994,-117.016756,0.0,0.0,commercial_retail,one_story,early_modern,pot_reverse,yes,yes,yes,undetermined,undetermined,undetermined,more_research,"",uuid:07af59c5-95fa-440c-8361-355645b9b9c3,uuid:07af59c5-95fa-440c-8361-355645b9b9c3
"","AW,ME","Mar 24, 2019 8:15:00 PM","",4934,Pine,media/1553458603343.jpg,32.768755999999996,-117.017584,0.0,0.0,residential,one_story,folk_trad_victorian,yes,yes,yes,yes,no,no,no,undetermined,"",uuid:60d3b454-3e0f-4526-a8b8-cea8d1f3d669,uuid:60d3b454-3e0f-4526-a8b8-cea8d1f3d669
"",DCC,"Feb 18, 2020 6:46:00 PM",0,8282,University,media/1582051666685.jpg,32.76793,-117.01932599999999,0.0,0.0,commercial_retail,one_story,revivals,no,yes,undetermined,undetermined,yes,undetermined,undetermined,more_research,Possible home turned commercial; addition to the rear of property- type of siding different than stucco exterior of front portion.,uuid:680fe52c-6310-4e97-9a34-df778382636f,uuid:680fe52c-6310-4e97-9a34-df778382636f
"",AM,"Dec 1, 2019 10:30:00 PM","",8360,La Mesa Blvd,media/1575239502407.jpg,32.76549,-117.017995,0.0,0.0,commercial_retail,one_story,undetermined,no,no,no,undetermined,undetermined,no,no,undetermined,"",uuid:496b82aa-b275-4fb0-9c7a-fbee5184d839,uuid:496b82aa-b275-4fb0-9c7a-fbee5184d839
"",DCC,"Mar 7, 2020 7:56:00 PM",1922,8371,La Mesa Blvd,media/1583611078922.jpg,32.765595,-117.017406,0.0,0.0,commercial_retail,one_story,early_modern,undetermined,undetermined,no,undetermined,no,no,yes,undetermined,The structure appears to be a complete renovation for the Antiques Emporium. Exposed block wall interior . Possibly with original support struts and beams for ceiling. Was once renovated as a multi-tenant bldg.,uuid:68944c68-eb4e-45ca-b886-70937840c38a,uuid:68944c68-eb4e-45ca-b886-70937840c38a
"",KC,"Feb 16, 2020 12:23:00 AM","",8109,Commercial,media/1582138324276.jpg,32.773074,-117.023619,0.0,0.0,commercial_retail,one_story,undetermined,yes,no,no,undetermined,undetermined,undetermined,yes,non_candidate,"",uuid:1b86e8eb-9711-4345-9be9-c36c79e0da47,uuid:1b86e8eb-9711-4345-9be9-c36c79e0da47
"",DCC,"Feb 18, 2020 7:00:00 PM",1956,8262,University,media/1582052523088.jpg,32.767654,-117.020033,0.0,0.0,commercial_retail,one_story,contemporary,undetermined,undetermined,undetermined,undetermined,no,no,yes,non_candidate,OfI don't think this is the original bldg. On the map it says 90+ bedrooms and bathrooms. Structure may have been completely demolished and this new business erected since.,uuid:c527ac60-b5f4-4e93-8a73-04121629aa18,uuid:c527ac60-b5f4-4e93-8a73-04121629aa18
"",SG,"Feb 18, 2020 1:22:00 AM",1930,8364,La Mesa Blvd,media/1581989005423.jpg,32.765536,-117.01761099999999,0.0,0.0,commercial_retail,one_story,minimal_trad,yes,yes,no,yes,undetermined,yes,undetermined,candidate,"",uuid:ff594bec-96cf-4512-a109-00edb4429d7b,uuid:ff594bec-96cf-4512-a109-00edb4429d7b
"",Ca,"Mar 30, 2019 8:04:00 PM",1941,4884,Cypress st,media/1553976309201.jpg,32.768121,-117.016539,0.0,0.0,residential,one_story,folk_trad_victorian,yes,yes,yes,yes,no,yes,no,undetermined,"",uuid:2bb4ca4f-4c83-49bf-99cd-b4e92d303af4,uuid:2bb4ca4f-4c83-49bf-99cd-b4e92d303af4
"",Am,"Oct 12, 2019 6:55:00 PM",1980,8085,La Mesa Blvd,media/1570906554066.jpg,32.763318999999996,-117.022768,0.0,0.0,commercial_retail,two_story,post_modern,yes,yes,no,yes,no,no,no,assess,"",uuid:031aa4d3-0520-43bc-89ff-3e307eae4ea3,uuid:031aa4d3-0520-43bc-89ff-3e307eae4ea3
"",Bb,"Dec 7, 2019 6:09:00 PM",1930,8390,Allison Ave,media/1575742210401.jpg,32.766068,-117.01623,0.0,0.0,commercial_retail,multi_building_structure,modern,yes,yes,no,yes,yes,no,yes,more_research,Possible candidate,uuid:d62d3383-a9a8-4d53-97d4-5123f729d6ef,uuid:d62d3383-a9a8-4d53-97d4-5123f729d6ef
"",Wr,"Mar 24, 2019 7:17:00 PM","",4887,Palm,media/1553455126875.jpg,32.767765,-117.019104,0.0,0.0,residential,one_story,craftsman,yes,yes,yes,yes,"","",no,candidate,"",uuid:aac3ba8b-a10f-4ca1-b75a-29263fe09dd6,uuid:aac3ba8b-a10f-4ca1-b75a-29263fe09dd6
"",SG,"Feb 1, 2020 9:38:00 PM",1937,8387,University Ave,media/1580593171723.jpg,32.768094,-117.016993,0.0,0.0,residential,one_story,revivals,yes,yes,yes,yes,yes,yes,no,confirmed,All original windows and shutters,uuid:a113401c-1080-4b72-ba19-e47f4397fbab,uuid:a113401c-1080-4b72-ba19-e47f4397fbab
"",Wr,"Mar 30, 2019 6:33:00 PM",1945,8278,University,media/1553970833494.jpg,32.76772,-117.01946199999999,0.0,0.0,residential,one_story,contemporary,no,no,no,yes,undetermined,undetermined,undetermined,more_research,"",uuid:47931e84-2f5b-44db-86b5-1e2431878344,uuid:47931e84-2f5b-44db-86b5-1e2431878344
"",Am,"Nov 3, 2019 8:43:00 PM",1980,7863,La Mesa Blvd,media/1572817468816.jpg,32.767275999999995,-117.028409,0.0,0.0,commercial_retail,two_story,contemporary,yes,yes,no,yes,no,no,no,not_included,"",uuid:8131039b-562d-4efb-9e2e-6f9053bdbb51,uuid:8131039b-562d-4efb-9e2e-6f9053bdbb51
"",Wr,"Mar 30, 2019 5:57:00 PM","",8334,University,media/1553968723334.jpg,32.768080999999995,-117.018261,0.0,0.0,commercial_retail,one_story,revivals,no,yes,yes,yes,undetermined,no,undetermined,more_research,"",uuid:7a3fd8de-63f0-429e-956f-7312e777f93f,uuid:7a3fd8de-63f0-429e-956f-7312e777f93f
"",Wr,"Apr 20, 2019 8:51:00 PM",0,8675,La Mesa,media/1555793532883.jpg,32.769549,-117.01036099999999,0.0,0.0,commercial_retail,multi_building_structure,post_modern,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined,more_research,"",uuid:97e395af-25b0-49f5-bcd2-199177dbe654,uuid:97e395af-25b0-49f5-bcd2-199177dbe654
"",Am,"Oct 10, 2019 8:14:00 PM",1986,7961,University Ave.,media/1570739927713.jpg,32.764491,-117.026231,0.0,0.0,government_institutional,one_story,post_modern,no,yes,no,yes,no,no,undetermined,more_research,"",uuid:4985f423-5272-4ab5-a451-e54da88256ed,uuid:4985f423-5272-4ab5-a451-e54da88256ed
